Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
37.323651,127.10545,1,0,0,0,0
37.323655,127.105362,1,0,0,0,0
37.323655,127.105387,0,0,0,1,0
37.323657,127.10535,1,0,0,0,0
37.323658,127.10537,0,1,0,0,0
37.323659,127.105368,1,0,0,0,0
37.323663,127.105356,0,0,0,1,0
37.323668,127.105343,1,0,0,0,0
37.323681,127.105299,1,0,0,0,0
37.323689,127.105279,1,0,0,0,0
37.323703,127.105248,0,0,0,0,1
37.323719,127.10521,1,0,0,0,0
37.323726,127.105194,1,0,0,0,0
37.323727,127.105177,0,1,0,0,0
37.323735,127.105171,1,0,0,0,0
37.323763,127.105101,1,0,0,0,0
37.323774,127.105077,1,0,0,0,0
37.34,127.0,1,0,0,0,0
37.35,127.0,6,2,0,0,0
37.35,127.1,11,1,0,0,5
37.36,127.11,17,4,3,0,3
37.368,127.926,8,5,0,0,0
37.37,127.11,33,3,1,0,6
37.37498056,127.1371,1,0,0,0,0
37.37503056,127.1371472,1,0,0,0,0
37.38611942,126.9522166,0,1,0,0,0
37.38611944,126.9522083,0,0,0,0,2
37.38612778,126.9521722,0,0,0,0,1
37.38612778,126.9521778,1,0,0,0,0
37.38613056,126.9521778,0,0,0,2,0
37.38613056,126.9522167,0,0,0,1,0
37.38613608,126.9521778,1,0,0,0,0
37.38613608,126.9521944,0,1,0,0,0
37.38613611,126.9521944,0,1,0,0,0
37.38613889,126.9521861,0,1,0,0,0
37.38615,126.9521722,0,1,0,0,0
37.38619442,126.9522166,1,0,0,0,0
37.39,126.46,4,0,0,4,4
37.3949,126.9389,1,0,0,0,0
37.3951,126.939,1,0,0,0,0
37.3951,126.9391,1,0,0,0,0
37.3956,126.9348,1,0,0,0,0
37.3957,126.9345,1,0,0,0,0
37.3958,126.9346,1,0,0,0,0
37.3958,126.9357,0,1,0,0,0
37.3959,126.9344,0,2,0,0,0
37.3959,126.9345,1,1,0,0,0
37.396,126.9343,1,0,0,0,0
37.396,126.9344,0,2,0,0,0
37.396,126.9345,2,0,0,0,0
37.396,126.9347,4,0,0,0,0
37.3961,126.9347,1,0,0,0,0
37.3962,126.9347,1,0,0,0,0
37.3963,126.9346,3,0,0,0,0
37.3966,126.9331,2,0,0,0,0
37.3966,126.9332,1,0,3,0,1
37.39667219,126.9331583,0,0,1,0,0
37.3967,126.9332,0,0,0,0,1
37.3969,126.932,1,0,0,0,0
37.397,126.932,4,0,0,0,0
37.397,126.9322,1,0,0,0,0
37.3972,126.9316,1,0,0,0,0
37.3972,126.9326,1,0,0,0,0
